Produto,Quantidade,Preco,Total_Vendas
Cabo HDMI 4K 2m,27,50,1350
Cadeira Gamer DXRacer,1,1500,1500
Cadeira Gamer DXRacer Elite,2,1700,3400
Cadeira Gamer Redragon,1,1450,1450
Cadeira Gamer ThunderX3,1,1400,1400
Fone de Ouvido Corsair Virtuoso,4,900,3600
Fone de Ouvido JBL,3,400,1200
Fone de Ouvido Sony WH-1000XM4,1,1500,1500
Fonte EVGA 750W,1,650,650
Fonte Modular EVGA 850W,3,850,2550
Gabinete Cooler Master,1,400,400
Gabinete NZXT H510,5,550,2750
HD Externo Seagate 2TB,1,600,600
HD Externo WD 4TB,1,800,800
HD Interno Toshiba 1TB,5,350,1750
Memória RAM Corsair 32GB,4,800,3200
Memória RAM Corsair 64GB,1,2500,2500
Monitor AOC Gamer,1,2200,2200
"Monitor Dell 32""",6,2500,15000
Monitor LG UltraWide,1,1600,1600
"Monitor Philips 24""",1,1000,1000
"Monitor Samsung 27""",7,1200,8400
"Monitor Samsung 4K UHD 28""",1,2500,2500
Monitor Samsung Odyssey,2,3500,7000
Mouse Gamer Corsair,1,150,150
Mouse Gamer HyperX,19,180,3420
Mouse Gamer Razer,1,250,250
Mouse Gamer SteelSeries,5,200,1000
Mouse Logitech MX Master,5,300,1500
Mouse Sem Fio Logitech M590,1,180,180
Mousepad Gamer HyperX,1,80,80
Notebook ASUS TUF Gaming,1,4500,4500
Notebook ASUS Vivobook,1,3800,3800
Notebook Acer Aspire,1,3000,3000
Notebook Dell Inspiron,6,3500,21000
Notebook Dell XPS,2,7200,14400
Notebook HP Pavilion,3,4200,12600
Notebook LG Gram,1,5000,5000
Notebook Lenovo ThinkPad,1,4000,4000
Notebook Samsung Book,5,2800,14000
Placa de Vídeo AMD RX 6700 XT,1,3200,3200
Placa de Vídeo NVIDIA RTX 3060,1,2800,2800
Placa de Vídeo RTX 4090,6,1500,9000
Placa-Mãe ASUS TUF Gaming,1,1200,1200
Placa-Mãe MSI PRO,1,850,850
SSD Kingston 1TB,1,500,500
SSD Kingston NVMe 500GB,7,400,2800
SSD Samsung 870 EVO 2TB,11,1200,13200
SSD Samsung Evo 500GB,1,450,450
Teclado Bluetooth Keychron K3,2,500,1000
Teclado Gamer Corsair,1,350,350
Teclado Gamer Redragon,1,200,200
Teclado Mecânico Logitech,2,450,900
Teclado RGB SteelSeries,1,350,350
Webcam Logitech C920,1,500,500
Webcam Razer Kiyo,3,700,2100
